48003GUARANA        4529900000255
75885CARRO          4000000002000
65272COMPUTADOR     5510000199999
01033BANANA         9954400000145
65272COMPUTADOR     5510000199999
01033BANANA         9954400000145
08399LARANJA        9967500000234
75885CARRINHO       6000000002000
65272COMPUTADOR     5510000199999
01033BANANA MAÇA    9954400000145
08399LARANJA        9967500000234
77290PLAYSTATION 5  0063600080000
48003GUARANA        4529900000255
75885CARRO          4000000002000
65272COMPUTADOR     5510000199999
01033BANANA         9954400000145
65272COMPUTADOR     5510000199999
01033BANANA         9954400000145
08399LARANJA        9967500000234
75885CARRINHO       6000000002000
65272COMPUTADOR     5510000199999
01033BANANA MAÇA    9954400000145
08399LARANJA        9967500000234
77290PLAYSTATION 5  0063600080000
65272COMPUTADOR     5510000199999
01033BANANA         9954400000145
08399LARANJA        9967500000234
75885CARRINHO       6000000002000
65272COMPUTADOR     5510000199999
01033BANANA MAÇA    9954400000145
08399LARANJA        9967500000234
77290PLAYSTATION 5  0063600080000
